title,type,source,episodes,status,airing,rating,score,scored_by,rank,popularity,members,favorites,studio,aired_from,aired_to,year,start_season,date_aired,duration_minutes,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,NA,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri,Average Rank of Related,Adaptation,Sequel,Side story,Alternative version,Prequel,Summary,Other,Spin-off,Alternative setting,Character,Parent story,Full story
Uchuu Senshi Baldios,TV,Unknown,34.0,Finished Airing,False,PG-13 - Teens 13 or older,6.66,152.0,4949.0,8563.0,857.0,4.0,Production Reed,1980-06-30 00:00:00,1981-01-25 00:00:00,1980.0,Summer,209 days 00:00:00,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1383.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Moonlight Mile 2nd Season: Touch Down,TV,Manga,14.0,Finished Airing,False,R+ - Mild Nudity,7.46,1207.0,1779.0,5711.0,3368.0,8.0,Studio Hibari,2007-09-13 00:00:00,2007-12-13 00:00:00,2007.0,Fall,91 days 00:00:00,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kämpfer,TV,Light novel,12.0,Finished Airing,False,R+ - Mild Nudity,6.64,97625.0,5016.0,432.0,181296.0,696.0,SmallStudio,2009-10-02 00:00:00,2009-12-18 00:00:00,2009.0,Fall,77 days 00:00:00,24.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,604.6666666666666,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Witchblade,TV,Other,24.0,Finished Airing,False,R - 17+ (violence & profanity),7.37,32824.0,2171.0,1070.0,77489.0,503.0,Gonzo,2006-04-06 00:00:00,2006-09-21 00:00:00,2006.0,Spring,168 days 00:00:00,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,148.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mahou Shoujo Lyrical Nanoha ViVid,TV,Manga,12.0,Finished Airing,False,PG-13 - Teens 13 or older,6.82,5817.0,4243.0,2953.0,16324.0,41.0,A-1 Pictures,2015-04-03 00:00:00,2015-06-19 00:00:00,2015.0,Spring,77 days 00:00:00,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6110.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Zettai Bouei Leviathan,TV,Game,13.0,Finished Airing,False,PG-13 - Teens 13 or older,6.38,7992.0,6101.0,2588.0,21242.0,32.0,Gonzo,2013-04-06 00:00:00,2013-07-06 00:00:00,2013.0,Spring,91 days 00:00:00,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petit Petit Muse,TV,Original,26.0,Finished Airing,False,G - All Ages,6.85,13.0,11754.0,11634.0,170.0,1.0,unknown,2008-01-27 00:00:00,2008-07-26 00:00:00,2008.0,Winter,181 days 00:00:00,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hataraku Onii-san!,TV,Original,12.0,Finished Airing,False,G - All Ages,6.3,1257.0,6386.0,5470.0,3739.0,4.0,SmallStudio,2018-01-05 00:00:00,2018-03-23 00:00:00,2018.0,Winter,77 days 00:00:00,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12919.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Third: Aoi Hitomi no Shoujo,TV,Light novel,24.0,Finished Airing,False,R - 17+ (violence & profanity),7.37,6124.0,2168.0,2964.0,16199.0,91.0,Xebec,2006-04-14 00:00:00,2006-10-27 00:00:00,2006.0,Spring,196 days 00:00:00,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10135.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,Light novel,13.0,Finished Airing,False,PG-13 - Teens 13 or older,8.11,306308.0,429.0,74.0,523671.0,13951.0,Brain&#039;s Base,2013-04-05 00:00:00,2013-06-28 00:00:00,2013.0,Spring,84 days 00:00:00,24.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
